index,pp_min,pp_mean,pp_max,pop_dev_max,pop_dev_mean,cut_edges,step,plan_idx,county_splits
60,0.11696911958888606,0.20913648435364865,0.3342380550705309,0.0034135948740290512,0.0017067974370145256,302,60,11,23
75,0.137501917012423,0.21588239060105946,0.3342380550705309,0.004247734010562221,0.0028537387497476327,318,75,13,23
1136,0.10519654335182801,0.17684451641102214,0.2616734749312346,0.004433688595139679,0.0022168442975698394,326,1136,344,22
1762,0.10235053333409976,0.13927359154800245,0.1896765054414981,0.004949048443825777,0.004393841184158795,324,1762,545,22
1764,0.10235053333409976,0.13927359154800245,0.1896765054414981,0.004949048443825777,0.004393841184158795,324,1764,547,22
486,0.1032492803695127,0.17596736863449103,0.24123479265605344,0.004148115483110011,0.002107263917372409,285,486,193,26
57,0.11696911958888606,0.20913648435364865,0.3342380550705309,0.0034135948740290512,0.0017067974370145256,302,57,8,23
1760,0.10235053333409976,0.13927359154800245,0.1896765054414981,0.004949048443825777,0.004393841184158795,324,1760,543,22
455,0.11948162788194562,0.2174943933631358,0.3068265161528568,0.004338054808785557,0.003120052279803207,307,455,162,26
489,0.1032492803695127,0.17596736863449103,0.24123479265605344,0.004148115483110011,0.002107263917372409,285,489,196,26
454,0.11948162788194562,0.2174943933631358,0.3068265161528568,0.004338054808785557,0.003120052279803207,307,454,161,26
59,0.11696911958888606,0.20913648435364865,0.3342380550705309,0.0034135948740290512,0.0017067974370145256,302,59,10,23
1139,0.10519654335182801,0.17684451641102214,0.2616734749312346,0.004433688595139679,0.0022168442975698394,326,1139,347,22
1142,0.10519654335182801,0.17684451641102214,0.2616734749312346,0.004433688595139679,0.0022168442975698394,326,1142,350,22
58,0.11696911958888606,0.20913648435364865,0.3342380550705309,0.0034135948740290512,0.0017067974370145256,302,58,9,23
1138,0.10519654335182801,0.17684451641102214,0.2616734749312346,0.004433688595139679,0.0022168442975698394,326,1138,346,22
457,0.11948162788194562,0.2174943933631358,0.3068265161528568,0.004338054808785557,0.003120052279803207,307,457,164,26
1145,0.10519654335182801,0.17684451641102214,0.2616734749312346,0.004433688595139679,0.0022168442975698394,326,1145,353,22
453,0.11948162788194562,0.2174943933631358,0.3068265161528568,0.004338054808785557,0.003120052279803207,307,453,160,26
456,0.11948162788194562,0.2174943933631358,0.3068265161528568,0.004338054808785557,0.003120052279803207,307,456,163,26
487,0.1032492803695127,0.17596736863449103,0.24123479265605344,0.004148115483110011,0.002107263917372409,285,487,194,26
1146,0.10519654335182801,0.17684451641102214,0.2616734749312346,0.004433688595139679,0.0022168442975698394,326,1146,354,22
451,0.11948162788194562,0.2174943933631358,0.3068265161528568,0.004338054808785557,0.003120052279803207,307,451,158,26
1140,0.10519654335182801,0.17684451641102214,0.2616734749312346,0.004433688595139679,0.0022168442975698394,326,1140,348,22
1143,0.10519654335182801,0.17684451641102214,0.2616734749312346,0.004433688595139679,0.0022168442975698394,326,1143,351,22
1342,0.11733303972902964,0.20796398252489523,0.3120634666488177,0.003191777619568798,0.0020049888958548067,338,1342,421,22
56,0.11696911958888606,0.20913648435364865,0.3342380550705309,0.0034135948740290512,0.0017067974370145256,302,56,7,23
74,0.137501917012423,0.21588239060105946,0.3342380550705309,0.004247734010562221,0.0028537387497476327,318,74,12,23
1763,0.10235053333409976,0.13927359154800245,0.1896765054414981,0.004949048443825777,0.004393841184158795,324,1763,546,22
1137,0.10519654335182801,0.17684451641102214,0.2616734749312346,0.004433688595139679,0.0022168442975698394,326,1137,345,22
488,0.1032492803695127,0.17596736863449103,0.24123479265605344,0.004148115483110011,0.002107263917372409,285,488,195,26
1761,0.10235053333409976,0.13927359154800245,0.1896765054414981,0.004949048443825777,0.004393841184158795,324,1761,544,22
1144,0.10519654335182801,0.17684451641102214,0.2616734749312346,0.004433688595139679,0.0022168442975698394,326,1144,352,22
1141,0.10519654335182801,0.17684451641102214,0.2616734749312346,0.004433688595139679,0.0022168442975698394,326,1141,349,22
452,0.11948162788194562,0.2174943933631358,0.3068265161528568,0.004338054808785557,0.003120052279803207,307,452,159,26
1324,0.11733303972902964,0.19886253476068533,0.2612418479524702,0.004376573972733745,0.0028597158613947655,288,1324,403,24
