index,pp_min,pp_mean,pp_max,pop_dev_max,pop_dev_mean,cut_edges,step,plan_idx,county_splits
6,0.17855388682771284,0.2517512001800527,0.31504196089081554,0.00442979049841469,0.002140760104077266,464,6,6,17
80,0.14642193648112117,0.25128639300944483,0.31504196089081554,0.003995886653072987,0.0026155730633512023,438,80,80,16
77,0.14642193648112117,0.25128639300944483,0.31504196089081554,0.003995886653072987,0.0026155730633512023,438,77,77,16
90,0.14642193648112117,0.25128639300944483,0.31504196089081554,0.003995886653072987,0.0026155730633512023,438,90,90,16
66,0.17855388682771284,0.2561922683968548,0.31504196089081554,0.00442979049841469,0.002556314665881611,466,66,66,17
65,0.17855388682771284,0.2561922683968548,0.31504196089081554,0.00442979049841469,0.002556314665881611,466,65,65,17
5,0.13258776139676867,0.2336393488329954,0.31504196089081554,0.0037139819955773574,0.0020070480514754446,482,5,5,15
67,0.17855388682771284,0.2561922683968548,0.31504196089081554,0.00442979049841469,0.002556314665881611,466,67,67,17
130,0.1396231402161706,0.24571342605346663,0.31504196089081554,0.0037139819955773574,0.00222236081291583,423,130,130,16
60,0.17855388682771284,0.2561922683968548,0.31504196089081554,0.00442979049841469,0.002556314665881611,466,60,60,17
8,0.17855388682771284,0.2517512001800527,0.31504196089081554,0.00442979049841469,0.002140760104077266,464,8,8,17
64,0.17855388682771284,0.2561922683968548,0.31504196089081554,0.00442979049841469,0.002556314665881611,466,64,64,17
88,0.14642193648112117,0.25128639300944483,0.31504196089081554,0.003995886653072987,0.0026155730633512023,438,88,88,16
83,0.14642193648112117,0.25128639300944483,0.31504196089081554,0.003995886653072987,0.0026155730633512023,438,83,83,16
85,0.14642193648112117,0.25128639300944483,0.31504196089081554,0.003995886653072987,0.0026155730633512023,438,85,85,16
134,0.1396231402161706,0.24571342605346663,0.31504196089081554,0.0037139819955773574,0.00222236081291583,423,134,134,16
132,0.1396231402161706,0.24571342605346663,0.31504196089081554,0.0037139819955773574,0.00222236081291583,423,132,132,16
89,0.14642193648112117,0.25128639300944483,0.31504196089081554,0.003995886653072987,0.0026155730633512023,438,89,89,16
91,0.14642193648112117,0.25128639300944483,0.31504196089081554,0.003995886653072987,0.0026155730633512023,438,91,91,16
84,0.14642193648112117,0.25128639300944483,0.31504196089081554,0.003995886653072987,0.0026155730633512023,438,84,84,16
63,0.17855388682771284,0.2561922683968548,0.31504196089081554,0.00442979049841469,0.002556314665881611,466,63,63,17
82,0.14642193648112117,0.25128639300944483,0.31504196089081554,0.003995886653072987,0.0026155730633512023,438,82,82,16
135,0.1396231402161706,0.24571342605346663,0.31504196089081554,0.0037139819955773574,0.00222236081291583,423,135,135,16
78,0.14642193648112117,0.25128639300944483,0.31504196089081554,0.003995886653072987,0.0026155730633512023,438,78,78,16
7,0.17855388682771284,0.2517512001800527,0.31504196089081554,0.00442979049841469,0.002140760104077266,464,7,7,17
61,0.17855388682771284,0.2561922683968548,0.31504196089081554,0.00442979049841469,0.002556314665881611,466,61,61,17
62,0.17855388682771284,0.2561922683968548,0.31504196089081554,0.00442979049841469,0.002556314665881611,466,62,62,17
87,0.14642193648112117,0.25128639300944483,0.31504196089081554,0.003995886653072987,0.0026155730633512023,438,87,87,16
131,0.1396231402161706,0.24571342605346663,0.31504196089081554,0.0037139819955773574,0.00222236081291583,423,131,131,16
81,0.14642193648112117,0.25128639300944483,0.31504196089081554,0.003995886653072987,0.0026155730633512023,438,81,81,16
86,0.14642193648112117,0.25128639300944483,0.31504196089081554,0.003995886653072987,0.0026155730633512023,438,86,86,16
133,0.1396231402161706,0.24571342605346663,0.31504196089081554,0.0037139819955773574,0.00222236081291583,423,133,133,16
79,0.14642193648112117,0.25128639300944483,0.31504196089081554,0.003995886653072987,0.0026155730633512023,438,79,79,16
