index,pp_min,pp_mean,pp_max,pop_dev_max,pop_dev_mean,cut_edges,step,plan_idx,county_splits
1987,0.1520111862821783,0.19297899691460235,0.25866520365559065,0.003656225438253436,0.0020918944028055424,749,1987,971,38
182,0.11902753907002948,0.17777803420514002,0.23532364020548124,0.004661470935345949,0.0026156473978447845,622,182,144,44
1998,0.1520111862821783,0.19297899691460235,0.25866520365559065,0.003656225438253436,0.0020918944028055424,749,1998,982,38
1703,0.13776014182715826,0.19201860057834813,0.28083532077536394,0.004123169246000062,0.0024778677987860155,634,1703,807,39
1785,0.13750686319363908,0.20555254581020738,0.3114253246087175,0.004608125722888249,0.0019772368357698356,655,1785,868,42
1709,0.13776014182715826,0.19201860057834813,0.28083532077536394,0.004123169246000062,0.0024778677987860155,634,1709,813,39
1979,0.1520111862821783,0.19297899691460235,0.25866520365559065,0.003656225438253436,0.0020918944028055424,749,1979,963,38
1984,0.1520111862821783,0.19297899691460235,0.25866520365559065,0.003656225438253436,0.0020918944028055424,749,1984,968,38
1702,0.13776014182715826,0.19201860057834813,0.28083532077536394,0.004123169246000062,0.0024778677987860155,634,1702,806,39
1699,0.13776014182715826,0.19201860057834813,0.28083532077536394,0.004123169246000062,0.0024778677987860155,634,1699,803,39
1996,0.1520111862821783,0.19297899691460235,0.25866520365559065,0.003656225438253436,0.0020918944028055424,749,1996,980,38
183,0.11902753907002948,0.17777803420514002,0.23532364020548124,0.004661470935345949,0.0026156473978447845,622,183,145,44
1784,0.13750686319363908,0.20555254581020738,0.3114253246087175,0.004608125722888249,0.0019772368357698356,655,1784,867,42
1697,0.13776014182715826,0.19201860057834813,0.28083532077536394,0.004123169246000062,0.0024778677987860155,634,1697,801,39
1787,0.13750686319363908,0.20555254581020738,0.3114253246087175,0.004608125722888249,0.0019772368357698356,655,1787,870,42
1980,0.1520111862821783,0.19297899691460235,0.25866520365559065,0.003656225438253436,0.0020918944028055424,749,1980,964,38
1706,0.13776014182715826,0.19201860057834813,0.28083532077536394,0.004123169246000062,0.0024778677987860155,634,1706,810,39
1652,0.10664934955717352,0.1784644703688511,0.2453834995700296,0.004962143951016624,0.0026336600669863456,649,1652,756,38
1989,0.1520111862821783,0.19297899691460235,0.25866520365559065,0.003656225438253436,0.0020918944028055424,749,1989,973,38
188,0.11902753907002948,0.17777803420514002,0.23532364020548124,0.004661470935345949,0.0026156473978447845,622,188,150,44
187,0.11902753907002948,0.17777803420514002,0.23532364020548124,0.004661470935345949,0.0026156473978447845,622,187,149,44
1708,0.13776014182715826,0.19201860057834813,0.28083532077536394,0.004123169246000062,0.0024778677987860155,634,1708,812,39
1698,0.13776014182715826,0.19201860057834813,0.28083532077536394,0.004123169246000062,0.0024778677987860155,634,1698,802,39
1982,0.1520111862821783,0.19297899691460235,0.25866520365559065,0.003656225438253436,0.0020918944028055424,749,1982,966,38
186,0.11902753907002948,0.17777803420514002,0.23532364020548124,0.004661470935345949,0.0026156473978447845,622,186,148,44
1990,0.1520111862821783,0.19297899691460235,0.25866520365559065,0.003656225438253436,0.0020918944028055424,749,1990,974,38
1700,0.13776014182715826,0.19201860057834813,0.28083532077536394,0.004123169246000062,0.0024778677987860155,634,1700,804,39
1978,0.1520111862821783,0.19297899691460235,0.25866520365559065,0.003656225438253436,0.0020918944028055424,749,1978,962,38
1988,0.1520111862821783,0.19297899691460235,0.25866520365559065,0.003656225438253436,0.0020918944028055424,749,1988,972,38
1786,0.13750686319363908,0.20555254581020738,0.3114253246087175,0.004608125722888249,0.0019772368357698356,655,1786,869,42
1994,0.1520111862821783,0.19297899691460235,0.25866520365559065,0.003656225438253436,0.0020918944028055424,749,1994,978,38
1701,0.13776014182715826,0.19201860057834813,0.28083532077536394,0.004123169246000062,0.0024778677987860155,634,1701,805,39
1997,0.1520111862821783,0.19297899691460235,0.25866520365559065,0.003656225438253436,0.0020918944028055424,749,1997,981,38
1981,0.1520111862821783,0.19297899691460235,0.25866520365559065,0.003656225438253436,0.0020918944028055424,749,1981,965,38
1993,0.1520111862821783,0.19297899691460235,0.25866520365559065,0.003656225438253436,0.0020918944028055424,749,1993,977,38
1995,0.1520111862821783,0.19297899691460235,0.25866520365559065,0.003656225438253436,0.0020918944028055424,749,1995,979,38
1705,0.13776014182715826,0.19201860057834813,0.28083532077536394,0.004123169246000062,0.0024778677987860155,634,1705,809,39
1983,0.1520111862821783,0.19297899691460235,0.25866520365559065,0.003656225438253436,0.0020918944028055424,749,1983,967,38
1707,0.13776014182715826,0.19201860057834813,0.28083532077536394,0.004123169246000062,0.0024778677987860155,634,1707,811,39
