index,pp_min,pp_mean,pp_max,pop_dev_max,pop_dev_mean,cut_edges,step,plan_idx,county_splits
1104,0.20735001915280282,0.3047117672070714,0.39096537358676575,0.0041271555519685095,0.0019815671653588642,201,1104,1067,8
1100,0.20735001915280282,0.3047117672070714,0.39096537358676575,0.0041271555519685095,0.0019815671653588642,201,1100,1063,8
1124,0.19796077975456647,0.3429754513586983,0.4176347825363826,0.0037679951165273894,0.0019815671653588642,173,1124,1087,9
1121,0.19796077975456647,0.3429754513586983,0.4176347825363826,0.0037679951165273894,0.0019815671653588642,173,1121,1084,9
1125,0.19796077975456647,0.3429754513586983,0.4176347825363826,0.0037679951165273894,0.0019815671653588642,173,1125,1088,9
1118,0.19796077975456647,0.3429754513586983,0.4176347825363826,0.0037679951165273894,0.0019815671653588642,173,1118,1081,9
1097,0.20735001915280282,0.3047117672070714,0.39096537358676575,0.0041271555519685095,0.0019815671653588642,201,1097,1060,8
1099,0.20735001915280282,0.3047117672070714,0.39096537358676575,0.0041271555519685095,0.0019815671653588642,201,1099,1062,8
1128,0.19796077975456647,0.3429754513586983,0.4176347825363826,0.0037679951165273894,0.0019815671653588642,173,1128,1091,9
1105,0.20735001915280282,0.3047117672070714,0.39096537358676575,0.0041271555519685095,0.0019815671653588642,201,1105,1068,8
1102,0.20735001915280282,0.3047117672070714,0.39096537358676575,0.0041271555519685095,0.0019815671653588642,201,1102,1065,8
1119,0.19796077975456647,0.3429754513586983,0.4176347825363826,0.0037679951165273894,0.0019815671653588642,173,1119,1082,9
1116,0.19796077975456647,0.3429754513586983,0.4176347825363826,0.0037679951165273894,0.0019815671653588642,173,1116,1079,9
1133,0.19796077975456647,0.3429754513586983,0.4176347825363826,0.0037679951165273894,0.0019815671653588642,173,1133,1096,9
1129,0.19796077975456647,0.3429754513586983,0.4176347825363826,0.0037679951165273894,0.0019815671653588642,173,1129,1092,9
1108,0.20735001915280282,0.3047117672070714,0.39096537358676575,0.0041271555519685095,0.0019815671653588642,201,1108,1071,8
1096,0.20735001915280282,0.3047117672070714,0.39096537358676575,0.0041271555519685095,0.0019815671653588642,201,1096,1059,8
1117,0.19796077975456647,0.3429754513586983,0.4176347825363826,0.0037679951165273894,0.0019815671653588642,173,1117,1080,9
1130,0.19796077975456647,0.3429754513586983,0.4176347825363826,0.0037679951165273894,0.0019815671653588642,173,1130,1093,9
1101,0.20735001915280282,0.3047117672070714,0.39096537358676575,0.0041271555519685095,0.0019815671653588642,201,1101,1064,8
1131,0.19796077975456647,0.3429754513586983,0.4176347825363826,0.0037679951165273894,0.0019815671653588642,173,1131,1094,9
1103,0.20735001915280282,0.3047117672070714,0.39096537358676575,0.0041271555519685095,0.0019815671653588642,201,1103,1066,8
1123,0.19796077975456647,0.3429754513586983,0.4176347825363826,0.0037679951165273894,0.0019815671653588642,173,1123,1086,9
1120,0.19796077975456647,0.3429754513586983,0.4176347825363826,0.0037679951165273894,0.0019815671653588642,173,1120,1083,9
1126,0.19796077975456647,0.3429754513586983,0.4176347825363826,0.0037679951165273894,0.0019815671653588642,173,1126,1089,9
0,0.18585067527797353,0.2758369072293907,0.3889960885503228,0.0042103587416459885,0.002647303620364911,179,0,0,8
1122,0.19796077975456647,0.3429754513586983,0.4176347825363826,0.0037679951165273894,0.0019815671653588642,173,1122,1085,9
1094,0.20735001915280282,0.3047117672070714,0.39096537358676575,0.0041271555519685095,0.0019815671653588642,201,1094,1057,8
1132,0.19796077975456647,0.3429754513586983,0.4176347825363826,0.0037679951165273894,0.0019815671653588642,173,1132,1095,9
1107,0.20735001915280282,0.3047117672070714,0.39096537358676575,0.0041271555519685095,0.0019815671653588642,201,1107,1070,8
1095,0.20735001915280282,0.3047117672070714,0.39096537358676575,0.0041271555519685095,0.0019815671653588642,201,1095,1058,8
1098,0.20735001915280282,0.3047117672070714,0.39096537358676575,0.0041271555519685095,0.0019815671653588642,201,1098,1061,8
1134,0.19796077975456647,0.3429754513586983,0.4176347825363826,0.0037679951165273894,0.0019815671653588642,173,1134,1097,9
1127,0.19796077975456647,0.3429754513586983,0.4176347825363826,0.0037679951165273894,0.0019815671653588642,173,1127,1090,9
1106,0.20735001915280282,0.3047117672070714,0.39096537358676575,0.0041271555519685095,0.0019815671653588642,201,1106,1069,8
