index,pp_min,pp_mean,pp_max,pop_dev_max,pop_dev_mean,cut_edges,step,plan_idx,county_splits
466,0.1613944484885925,0.20762049248720993,0.2538465364858274,0.002162304674434436,0.002162304674434436,67,466,381,1
89,0.18075426988921886,0.2520523701627971,0.32335047043637527,0.0033585569420014403,0.0033585569420014403,71,89,89,1
445,0.1613944484885925,0.20762049248720993,0.2538465364858274,0.002162304674434436,0.002162304674434436,67,445,360,1
118,0.18075426988921886,0.2520523701627971,0.32335047043637527,0.0033585569420014403,0.0033585569420014403,71,118,118,1
70,0.18075426988921886,0.2520523701627971,0.32335047043637527,0.0033585569420014403,0.0033585569420014403,71,70,70,1
460,0.1613944484885925,0.20762049248720993,0.2538465364858274,0.002162304674434436,0.002162304674434436,67,460,375,1
79,0.18075426988921886,0.2520523701627971,0.32335047043637527,0.0033585569420014403,0.0033585569420014403,71,79,79,1
88,0.18075426988921886,0.2520523701627971,0.32335047043637527,0.0033585569420014403,0.0033585569420014403,71,88,88,1
65,0.18075426988921886,0.2520523701627971,0.32335047043637527,0.0033585569420014403,0.0033585569420014403,71,65,65,1
69,0.18075426988921886,0.2520523701627971,0.32335047043637527,0.0033585569420014403,0.0033585569420014403,71,69,69,1
457,0.1613944484885925,0.20762049248720993,0.2538465364858274,0.002162304674434436,0.002162304674434436,67,457,372,1
467,0.1613944484885925,0.20762049248720993,0.2538465364858274,0.002162304674434436,0.002162304674434436,67,467,382,1
450,0.1613944484885925,0.20762049248720993,0.2538465364858274,0.002162304674434436,0.002162304674434436,67,450,365,1
455,0.1613944484885925,0.20762049248720993,0.2538465364858274,0.002162304674434436,0.002162304674434436,67,455,370,1
101,0.18075426988921886,0.2520523701627971,0.32335047043637527,0.0033585569420014403,0.0033585569420014403,71,101,101,1
80,0.18075426988921886,0.2520523701627971,0.32335047043637527,0.0033585569420014403,0.0033585569420014403,71,80,80,1
81,0.18075426988921886,0.2520523701627971,0.32335047043637527,0.0033585569420014403,0.0033585569420014403,71,81,81,1
443,0.1613944484885925,0.20762049248720993,0.2538465364858274,0.002162304674434436,0.002162304674434436,67,443,358,1
107,0.18075426988921886,0.2520523701627971,0.32335047043637527,0.0033585569420014403,0.0033585569420014403,71,107,107,1
98,0.18075426988921886,0.2520523701627971,0.32335047043637527,0.0033585569420014403,0.0033585569420014403,71,98,98,1
108,0.18075426988921886,0.2520523701627971,0.32335047043637527,0.0033585569420014403,0.0033585569420014403,71,108,108,1
454,0.1613944484885925,0.20762049248720993,0.2538465364858274,0.002162304674434436,0.002162304674434436,67,454,369,1
438,0.1613944484885925,0.20762049248720993,0.2538465364858274,0.002162304674434436,0.002162304674434436,67,438,353,1
