index,pp_min,pp_mean,pp_max,pop_dev_max,pop_dev_mean,cut_edges,step,plan_idx,county_splits
1710,0.1858784660557844,0.1931325788239568,0.20038669159212918,0.0032265676910411905,0.0032265676910411905,45,1710,1710,6
261,0.24708629872862387,0.31801530876188755,0.3889443187951513,0.0024022541386956487,0.0024022541386956487,46,261,261,3
1707,0.1858784660557844,0.1931325788239568,0.20038669159212918,0.0032265676910411905,0.0032265676910411905,45,1707,1707,6
1706,0.1858784660557844,0.1931325788239568,0.20038669159212918,0.0032265676910411905,0.0032265676910411905,45,1706,1706,6
1718,0.1858784660557844,0.1931325788239568,0.20038669159212918,0.0032265676910411905,0.0032265676910411905,45,1718,1718,6
528,0.18978936227009746,0.24808306880515882,0.3063767753402202,0.004393438986116081,0.004393438986116081,43,528,528,7
1722,0.1858784660557844,0.1931325788239568,0.20038669159212918,0.0032265676910411905,0.0032265676910411905,45,1722,1722,6
511,0.18978936227009746,0.24808306880515882,0.3063767753402202,0.004393438986116081,0.004393438986116081,43,511,511,7
260,0.24708629872862387,0.31801530876188755,0.3889443187951513,0.0024022541386956487,0.0024022541386956487,46,260,260,3
529,0.18978936227009746,0.24808306880515882,0.3063767753402202,0.004393438986116081,0.004393438986116081,43,529,529,7
1705,0.1858784660557844,0.1931325788239568,0.20038669159212918,0.0032265676910411905,0.0032265676910411905,45,1705,1705,6
1723,0.1858784660557844,0.1931325788239568,0.20038669159212918,0.0032265676910411905,0.0032265676910411905,45,1723,1723,6
525,0.18978936227009746,0.24808306880515882,0.3063767753402202,0.004393438986116081,0.004393438986116081,43,525,525,7
1729,0.1858784660557844,0.1931325788239568,0.20038669159212918,0.0032265676910411905,0.0032265676910411905,45,1729,1729,6
518,0.18978936227009746,0.24808306880515882,0.3063767753402202,0.004393438986116081,0.004393438986116081,43,518,518,7
1715,0.1858784660557844,0.1931325788239568,0.20038669159212918,0.0032265676910411905,0.0032265676910411905,45,1715,1715,6
1731,0.1858784660557844,0.1931325788239568,0.20038669159212918,0.0032265676910411905,0.0032265676910411905,45,1731,1731,6
1721,0.1858784660557844,0.1931325788239568,0.20038669159212918,0.0032265676910411905,0.0032265676910411905,45,1721,1721,6
526,0.18978936227009746,0.24808306880515882,0.3063767753402202,0.004393438986116081,0.004393438986116081,43,526,526,7
527,0.18978936227009746,0.24808306880515882,0.3063767753402202,0.004393438986116081,0.004393438986116081,43,527,527,7
1719,0.1858784660557844,0.1931325788239568,0.20038669159212918,0.0032265676910411905,0.0032265676910411905,45,1719,1719,6
1724,0.1858784660557844,0.1931325788239568,0.20038669159212918,0.0032265676910411905,0.0032265676910411905,45,1724,1724,6
1704,0.1858784660557844,0.1931325788239568,0.20038669159212918,0.0032265676910411905,0.0032265676910411905,45,1704,1704,6
519,0.18978936227009746,0.24808306880515882,0.3063767753402202,0.004393438986116081,0.004393438986116081,43,519,519,7
513,0.18978936227009746,0.24808306880515882,0.3063767753402202,0.004393438986116081,0.004393438986116081,43,513,513,7
1732,0.1858784660557844,0.1931325788239568,0.20038669159212918,0.0032265676910411905,0.0032265676910411905,45,1732,1732,6
1703,0.1858784660557844,0.1931325788239568,0.20038669159212918,0.0032265676910411905,0.0032265676910411905,45,1703,1703,6
1708,0.1858784660557844,0.1931325788239568,0.20038669159212918,0.0032265676910411905,0.0032265676910411905,45,1708,1708,6
1714,0.1858784660557844,0.1931325788239568,0.20038669159212918,0.0032265676910411905,0.0032265676910411905,45,1714,1714,6
522,0.18978936227009746,0.24808306880515882,0.3063767753402202,0.004393438986116081,0.004393438986116081,43,522,522,7
515,0.18978936227009746,0.24808306880515882,0.3063767753402202,0.004393438986116081,0.004393438986116081,43,515,515,7
1728,0.1858784660557844,0.1931325788239568,0.20038669159212918,0.0032265676910411905,0.0032265676910411905,45,1728,1728,6
1717,0.1858784660557844,0.1931325788239568,0.20038669159212918,0.0032265676910411905,0.0032265676910411905,45,1717,1717,6
516,0.18978936227009746,0.24808306880515882,0.3063767753402202,0.004393438986116081,0.004393438986116081,43,516,516,7
1730,0.1858784660557844,0.1931325788239568,0.20038669159212918,0.0032265676910411905,0.0032265676910411905,45,1730,1730,6
