index,pp_min,pp_mean,pp_max,pop_dev_max,pop_dev_mean,cut_edges,step,plan_idx,county_splits
286,0.13826965817121067,0.2102972866224411,0.45311383778846914,0.004621533938451889,0.0014636493337451028,495,286,119,23
1013,0.1036102821797361,0.20813592751054644,0.5702711028436114,0.0046679071744374955,0.0032730274213921906,557,1013,266,19
86,0.10122180895891418,0.22274622422850396,0.5371401433569515,0.004509157078241481,0.0027472428037043505,558,86,14,23
80,0.10122180895891418,0.22274622422850396,0.5371401433569515,0.004509157078241481,0.0027472428037043505,558,80,8,23
1400,0.11369515477850348,0.207019167303927,0.5372920548354888,0.004794651202852056,0.0029390263229439446,537,1400,446,21
1018,0.1036102821797361,0.20813592751054644,0.5702711028436114,0.0046679071744374955,0.0032730274213921906,557,1018,271,19
81,0.10122180895891418,0.22274622422850396,0.5371401433569515,0.004509157078241481,0.0027472428037043505,558,81,9,23
280,0.13826965817121067,0.2102972866224411,0.45311383778846914,0.004621533938451889,0.0014636493337451028,495,280,113,23
283,0.13826965817121067,0.2102972866224411,0.45311383778846914,0.004621533938451889,0.0014636493337451028,495,283,116,23
275,0.13826965817121067,0.2102972866224411,0.45311383778846914,0.004621533938451889,0.0014636493337451028,495,275,108,23
285,0.13826965817121067,0.2102972866224411,0.45311383778846914,0.004621533938451889,0.0014636493337451028,495,285,118,23
278,0.13826965817121067,0.2102972866224411,0.45311383778846914,0.004621533938451889,0.0014636493337451028,495,278,111,23
72,0.10122180895891418,0.22274622422850396,0.5371401433569515,0.004509157078241481,0.0027472428037043505,558,72,0,23
147,0.11123013987685558,0.2226341768162045,0.5371401433569515,0.004509157078241481,0.0024946398529472145,540,147,56,23
1015,0.1036102821797361,0.20813592751054644,0.5702711028436114,0.0046679071744374955,0.0032730274213921906,557,1015,268,19
277,0.13826965817121067,0.2102972866224411,0.45311383778846914,0.004621533938451889,0.0014636493337451028,495,277,110,23
79,0.10122180895891418,0.22274622422850396,0.5371401433569515,0.004509157078241481,0.0027472428037043505,558,79,7,23
83,0.10122180895891418,0.22274622422850396,0.5371401433569515,0.004509157078241481,0.0027472428037043505,558,83,11,23
1026,0.1036102821797361,0.20813592751054644,0.5702711028436114,0.0046679071744374955,0.0032730274213921906,557,1026,279,19
1012,0.1036102821797361,0.20813592751054644,0.5702711028436114,0.0046679071744374955,0.0032730274213921906,557,1012,265,19
1025,0.1036102821797361,0.20813592751054644,0.5702711028436114,0.0046679071744374955,0.0032730274213921906,557,1025,278,19
1020,0.1036102821797361,0.20813592751054644,0.5702711028436114,0.0046679071744374955,0.0032730274213921906,557,1020,273,19
75,0.10122180895891418,0.22274622422850396,0.5371401433569515,0.004509157078241481,0.0027472428037043505,558,75,3,23
279,0.13826965817121067,0.2102972866224411,0.45311383778846914,0.004621533938451889,0.0014636493337451028,495,279,112,23
85,0.10122180895891418,0.22274622422850396,0.5371401433569515,0.004509157078241481,0.0027472428037043505,558,85,13,23
282,0.13826965817121067,0.2102972866224411,0.45311383778846914,0.004621533938451889,0.0014636493337451028,495,282,115,23
1024,0.1036102821797361,0.20813592751054644,0.5702711028436114,0.0046679071744374955,0.0032730274213921906,557,1024,277,19
1406,0.11369515477850348,0.2087348498574728,0.5372920548354888,0.004794651202852056,0.003161504056322589,545,1406,452,21
1017,0.1036102821797361,0.20813592751054644,0.5702711028436114,0.0046679071744374955,0.0032730274213921906,557,1017,270,19
73,0.10122180895891418,0.22274622422850396,0.5371401433569515,0.004509157078241481,0.0027472428037043505,558,73,1,23
969,0.11419213647363884,0.20541585630957135,0.5702711028436114,0.004839459697746093,0.0025930446815928096,548,969,223,19
1403,0.11369515477850348,0.207019167303927,0.5372920548354888,0.004794651202852056,0.0029390263229439446,537,1403,449,21
1402,0.11369515477850348,0.207019167303927,0.5372920548354888,0.004794651202852056,0.0029390263229439446,537,1402,448,21
1016,0.1036102821797361,0.20813592751054644,0.5702711028436114,0.0046679071744374955,0.0032730274213921906,557,1016,269,19
284,0.13826965817121067,0.2102972866224411,0.45311383778846914,0.004621533938451889,0.0014636493337451028,495,284,117,23
1022,0.1036102821797361,0.20813592751054644,0.5702711028436114,0.0046679071744374955,0.0032730274213921906,557,1022,275,19
78,0.10122180895891418,0.22274622422850396,0.5371401433569515,0.004509157078241481,0.0027472428037043505,558,78,6,23
84,0.10122180895891418,0.22274622422850396,0.5371401433569515,0.004509157078241481,0.0027472428037043505,558,84,12,23
82,0.10122180895891418,0.22274622422850396,0.5371401433569515,0.004509157078241481,0.0027472428037043505,558,82,10,23
1405,0.11369515477850348,0.2087348498574728,0.5372920548354888,0.004794651202852056,0.003161504056322589,545,1405,451,21
1404,0.11369515477850348,0.2087348498574728,0.5372920548354888,0.004794651202852056,0.003161504056322589,545,1404,450,21
77,0.10122180895891418,0.22274622422850396,0.5371401433569515,0.004509157078241481,0.0027472428037043505,558,77,5,23
1027,0.1036102821797361,0.20813592751054644,0.5702711028436114,0.0046679071744374955,0.0032730274213921906,557,1027,280,19
149,0.11123013987685558,0.2226341768162045,0.5371401433569515,0.004509157078241481,0.0024946398529472145,540,149,58,23
148,0.11123013987685558,0.2226341768162045,0.5371401433569515,0.004509157078241481,0.0024946398529472145,540,148,57,23
74,0.10122180895891418,0.22274622422850396,0.5371401433569515,0.004509157078241481,0.0027472428037043505,558,74,2,23
1023,0.1036102821797361,0.20813592751054644,0.5702711028436114,0.0046679071744374955,0.0032730274213921906,557,1023,276,19
1028,0.1036102821797361,0.20813592751054644,0.5702711028436114,0.0046679071744374955,0.0032730274213921906,557,1028,281,19
1021,0.1036102821797361,0.20813592751054644,0.5702711028436114,0.0046679071744374955,0.0032730274213921906,557,1021,274,19
276,0.13826965817121067,0.2102972866224411,0.45311383778846914,0.004621533938451889,0.0014636493337451028,495,276,109,23
1014,0.1036102821797361,0.20813592751054644,0.5702711028436114,0.0046679071744374955,0.0032730274213921906,557,1014,267,19
1029,0.1036102821797361,0.20813592751054644,0.5702711028436114,0.0046679071744374955,0.0032730274213921906,557,1029,282,19
76,0.10122180895891418,0.22274622422850396,0.5371401433569515,0.004509157078241481,0.0027472428037043505,558,76,4,23
1407,0.11369515477850348,0.2087348498574728,0.5372920548354888,0.004794651202852056,0.003161504056322589,545,1407,453,21
1401,0.11369515477850348,0.207019167303927,0.5372920548354888,0.004794651202852056,0.0029390263229439446,537,1401,447,21
146,0.11123013987685558,0.2226341768162045,0.5371401433569515,0.004509157078241481,0.0024946398529472145,540,146,55,23
1030,0.1036102821797361,0.20813592751054644,0.5702711028436114,0.0046679071744374955,0.0032730274213921906,557,1030,283,19
281,0.13826965817121067,0.2102972866224411,0.45311383778846914,0.004621533938451889,0.0014636493337451028,495,281,114,23
1019,0.1036102821797361,0.20813592751054644,0.5702711028436114,0.0046679071744374955,0.0032730274213921906,557,1019,272,19
