index,pp_min,pp_mean,pp_max,pop_dev_max,pop_dev_mean,cut_edges,step,plan_idx,county_splits
730,0.10627578726977673,0.21089949397837027,0.3007993020252172,0.004293011390785891,0.002410929721374251,649,730,438,47
1182,0.11218513429078404,0.19984716525459623,0.2773880445446484,0.004539969620888247,0.0028457061843702412,633,1182,578,52
458,0.1082889164717913,0.19577600069250756,0.27823986150134183,0.003874482179770319,0.0021581630986888954,714,458,217,45
735,0.10627578726977673,0.21038542620588807,0.3013120809681531,0.004293011390785891,0.0022351750730760776,647,735,443,47
441,0.11818362696239254,0.19535929349943207,0.27823986150134183,0.004693668624623002,0.00250260484067376,702,441,209,44
457,0.1082889164717913,0.19577600069250756,0.27823986150134183,0.003874482179770319,0.0021581630986888954,714,457,216,45
366,0.12650615083241937,0.19517764871931087,0.2711900582490841,0.004441511273886913,0.0025112971204832844,597,366,148,49
1179,0.11218513429078404,0.19984716525459623,0.2773880445446484,0.004539969620888247,0.0028457061843702412,633,1179,575,52
728,0.10627578726977673,0.21089949397837027,0.3007993020252172,0.004293011390785891,0.002410929721374251,649,728,436,47
368,0.12650615083241937,0.19517764871931087,0.2711900582490841,0.004441511273886913,0.0025112971204832844,597,368,150,49
440,0.11818362696239254,0.19535929349943207,0.27823986150134183,0.004693668624623002,0.00250260484067376,702,440,208,44
732,0.10627578726977673,0.21038542620588807,0.3013120809681531,0.004293011390785891,0.0022351750730760776,647,732,440,47
374,0.13659569600716007,0.1982345860849701,0.2711900582490841,0.004441511273886913,0.0025112971204832844,598,374,156,46
1181,0.11218513429078404,0.19984716525459623,0.2773880445446484,0.004539969620888247,0.0028457061843702412,633,1181,577,52
373,0.12650615083241937,0.19517764871931087,0.2711900582490841,0.004441511273886913,0.0025112971204832844,597,373,155,49
460,0.1082889164717913,0.19577600069250756,0.27823986150134183,0.003874482179770319,0.0021581630986888954,714,460,219,45
454,0.1082889164717913,0.19577600069250756,0.27823986150134183,0.003874482179770319,0.0021581630986888954,714,454,213,45
93,0.13781940949822546,0.22154017558115097,0.5192798670919881,0.004769055873812143,0.0028434315690929824,662,93,32,49
456,0.1082889164717913,0.19577600069250756,0.27823986150134183,0.003874482179770319,0.0021581630986888954,714,456,215,45
444,0.11818362696239254,0.19535929349943207,0.27823986150134183,0.004693668624623002,0.00250260484067376,702,444,212,44
1183,0.11218513429078404,0.19984716525459623,0.2773880445446484,0.004539969620888247,0.0028457061843702412,633,1183,579,52
436,0.11818362696239254,0.19535929349943207,0.27823986150134183,0.004693668624623002,0.00250260484067376,702,436,204,44
736,0.10627578726977673,0.21038542620588807,0.3013120809681531,0.004293011390785891,0.0022351750730760776,647,736,444,47
1180,0.11218513429078404,0.19984716525459623,0.2773880445446484,0.004539969620888247,0.0028457061843702412,633,1180,576,52
370,0.12650615083241937,0.19517764871931087,0.2711900582490841,0.004441511273886913,0.0025112971204832844,597,370,152,49
367,0.12650615083241937,0.19517764871931087,0.2711900582490841,0.004441511273886913,0.0025112971204832844,597,367,149,49
459,0.1082889164717913,0.19577600069250756,0.27823986150134183,0.003874482179770319,0.0021581630986888954,714,459,218,45
439,0.11818362696239254,0.19535929349943207,0.27823986150134183,0.004693668624623002,0.00250260484067376,702,439,207,44
91,0.13781940949822546,0.22154017558115097,0.5192798670919881,0.004769055873812143,0.0028434315690929824,662,91,30,49
92,0.13781940949822546,0.22154017558115097,0.5192798670919881,0.004769055873812143,0.0028434315690929824,662,92,31,49
455,0.1082889164717913,0.19577600069250756,0.27823986150134183,0.003874482179770319,0.0021581630986888954,714,455,214,45
733,0.10627578726977673,0.21038542620588807,0.3013120809681531,0.004293011390785891,0.0022351750730760776,647,733,441,47
443,0.11818362696239254,0.19535929349943207,0.27823986150134183,0.004693668624623002,0.00250260484067376,702,443,211,44
372,0.12650615083241937,0.19517764871931087,0.2711900582490841,0.004441511273886913,0.0025112971204832844,597,372,154,49
371,0.12650615083241937,0.19517764871931087,0.2711900582490841,0.004441511273886913,0.0025112971204832844,597,371,153,49
729,0.10627578726977673,0.21089949397837027,0.3007993020252172,0.004293011390785891,0.002410929721374251,649,729,437,47
1178,0.11218513429078404,0.19984716525459623,0.2773880445446484,0.004539969620888247,0.0028457061843702412,633,1178,574,52
438,0.11818362696239254,0.19535929349943207,0.27823986150134183,0.004693668624623002,0.00250260484067376,702,438,206,44
369,0.12650615083241937,0.19517764871931087,0.2711900582490841,0.004441511273886913,0.0025112971204832844,597,369,151,49
731,0.10627578726977673,0.21089949397837027,0.3007993020252172,0.004293011390785891,0.002410929721374251,649,731,439,47
461,0.1082889164717913,0.19577600069250756,0.27823986150134183,0.003874482179770319,0.0021581630986888954,714,461,220,45
442,0.11818362696239254,0.19535929349943207,0.27823986150134183,0.004693668624623002,0.00250260484067376,702,442,210,44
734,0.10627578726977673,0.21038542620588807,0.3013120809681531,0.004293011390785891,0.0022351750730760776,647,734,442,47
94,0.13781940949822546,0.22154017558115097,0.5192798670919881,0.004769055873812143,0.0028434315690929824,662,94,33,49
437,0.11818362696239254,0.19535929349943207,0.27823986150134183,0.004693668624623002,0.00250260484067376,702,437,205,44
