index,pp_min,pp_mean,pp_max,pop_dev_max,pop_dev_mean,cut_edges,step,plan_idx,county_splits
900,0.12948114933657517,0.2159635847750121,0.3417229455413223,0.004471850843748628,0.0024105173933452427,219,900,433,26
1265,0.11414434143240491,0.22282653286002907,0.32865940464039795,0.0038937048956669447,0.002072139916722669,267,1265,567,25
1277,0.11414434143240491,0.22282653286002907,0.32865940464039795,0.0038937048956669447,0.002072139916722669,267,1277,579,25
1263,0.11414434143240491,0.22282653286002907,0.32865940464039795,0.0038937048956669447,0.002072139916722669,267,1263,565,25
1269,0.11414434143240491,0.22282653286002907,0.32865940464039795,0.0038937048956669447,0.002072139916722669,267,1269,571,25
888,0.12948114933657517,0.2159635847750121,0.3417229455413223,0.004471850843748628,0.0024105173933452427,219,888,421,26
898,0.12948114933657517,0.2159635847750121,0.3417229455413223,0.004471850843748628,0.0024105173933452427,219,898,431,26
844,0.12278888145727862,0.1831161072089397,0.24874508821569616,0.0037180998179785828,0.003497918066723175,248,844,377,25
1274,0.11414434143240491,0.22282653286002907,0.32865940464039795,0.0038937048956669447,0.002072139916722669,267,1274,576,25
892,0.12948114933657517,0.2159635847750121,0.3417229455413223,0.004471850843748628,0.0024105173933452427,219,892,425,26
899,0.12948114933657517,0.2159635847750121,0.3417229455413223,0.004471850843748628,0.0024105173933452427,219,899,432,26
1028,0.11013850152083385,0.22465489932421812,0.3648555749045415,0.004401608812673283,0.0033054278854109326,243,1028,478,26
891,0.12948114933657517,0.2159635847750121,0.3417229455413223,0.004471850843748628,0.0024105173933452427,219,891,424,26
1266,0.11414434143240491,0.22282653286002907,0.32865940464039795,0.0038937048956669447,0.002072139916722669,267,1266,568,25
1273,0.11414434143240491,0.22282653286002907,0.32865940464039795,0.0038937048956669447,0.002072139916722669,267,1273,575,25
533,0.12693254971491186,0.20341613138826298,0.2682441008418538,0.003805902356822764,0.0019877143986032643,207,533,277,27
843,0.12278888145727862,0.1831161072089397,0.24874508821569616,0.0037180998179785828,0.003497918066723175,248,843,376,25
1275,0.11414434143240491,0.22282653286002907,0.32865940464039795,0.0038937048956669447,0.002072139916722669,267,1275,577,25
890,0.12948114933657517,0.2159635847750121,0.3417229455413223,0.004471850843748628,0.0024105173933452427,219,890,423,26
842,0.12278888145727862,0.1831161072089397,0.24874508821569616,0.0037180998179785828,0.003497918066723175,248,842,375,25
889,0.12948114933657517,0.2159635847750121,0.3417229455413223,0.004471850843748628,0.0024105173933452427,219,889,422,26
896,0.12948114933657517,0.2159635847750121,0.3417229455413223,0.004471850843748628,0.0024105173933452427,219,896,429,26
1267,0.11414434143240491,0.22282653286002907,0.32865940464039795,0.0038937048956669447,0.002072139916722669,267,1267,569,25
1276,0.11414434143240491,0.22282653286002907,0.32865940464039795,0.0038937048956669447,0.002072139916722669,267,1276,578,25
894,0.12948114933657517,0.2159635847750121,0.3417229455413223,0.004471850843748628,0.0024105173933452427,219,894,427,26
893,0.12948114933657517,0.2159635847750121,0.3417229455413223,0.004471850843748628,0.0024105173933452427,219,893,426,26
1268,0.11414434143240491,0.22282653286002907,0.32865940464039795,0.0038937048956669447,0.002072139916722669,267,1268,570,25
1270,0.11414434143240491,0.22282653286002907,0.32865940464039795,0.0038937048956669447,0.002072139916722669,267,1270,572,25
901,0.12948114933657517,0.2159635847750121,0.3417229455413223,0.004471850843748628,0.0024105173933452427,219,901,434,26
897,0.12948114933657517,0.2159635847750121,0.3417229455413223,0.004471850843748628,0.0024105173933452427,219,897,430,26
1272,0.11414434143240491,0.22282653286002907,0.32865940464039795,0.0038937048956669447,0.002072139916722669,267,1272,574,25
902,0.12948114933657517,0.2159635847750121,0.3417229455413223,0.004471850843748628,0.0024105173933452427,219,902,435,26
895,0.12948114933657517,0.2159635847750121,0.3417229455413223,0.004471850843748628,0.0024105173933452427,219,895,428,26
1271,0.11414434143240491,0.22282653286002907,0.32865940464039795,0.0038937048956669447,0.002072139916722669,267,1271,573,25
1264,0.11414434143240491,0.22282653286002907,0.32865940464039795,0.0038937048956669447,0.002072139916722669,267,1264,566,25
