index,pp_min,pp_mean,pp_max,pop_dev_max,pop_dev_mean,cut_edges,step,plan_idx,county_splits
1744,0.26825064297791695,0.3808080742409643,0.4933655055040116,0.001187022988770781,0.001187022988770781,40,1744,1731,6
580,0.2417005599042824,0.38357917319455664,0.5254577864848309,0.001467407595286956,0.001467407595286956,65,580,580,7
429,0.31266624152482475,0.38319083363659434,0.45371542574836393,0.0021905047384076183,0.0021905047384076183,56,429,429,7
1743,0.26825064297791695,0.3808080742409643,0.4933655055040116,0.001187022988770781,0.001187022988770781,40,1743,1730,6
450,0.25700708936139144,0.38679791700764865,0.5165887446539058,0.0008531439507482303,0.0008531439507482303,72,450,450,7
584,0.2417005599042824,0.38357917319455664,0.5254577864848309,0.001467407595286956,0.001467407595286956,65,584,584,7
446,0.25700708936139144,0.38679791700764865,0.5165887446539058,0.0008531439507482303,0.0008531439507482303,72,446,446,7
588,0.2417005599042824,0.38357917319455664,0.5254577864848309,0.001467407595286956,0.001467407595286956,65,588,588,7
458,0.25700708936139144,0.38679791700764865,0.5165887446539058,0.0008531439507482303,0.0008531439507482303,72,458,458,7
585,0.2417005599042824,0.38357917319455664,0.5254577864848309,0.001467407595286956,0.001467407595286956,65,585,585,7
449,0.25700708936139144,0.38679791700764865,0.5165887446539058,0.0008531439507482303,0.0008531439507482303,72,449,449,7
1746,0.26825064297791695,0.3808080742409643,0.4933655055040116,0.001187022988770781,0.001187022988770781,40,1746,1733,6
914,0.2581021597409671,0.35961543723929934,0.46112871473763156,0.00014664852775023634,0.00014664852775023634,40,914,901,5
451,0.25700708936139144,0.38679791700764865,0.5165887446539058,0.0008531439507482303,0.0008531439507482303,72,451,451,7
454,0.25700708936139144,0.38679791700764865,0.5165887446539058,0.0008531439507482303,0.0008531439507482303,72,454,454,7
589,0.2417005599042824,0.38357917319455664,0.5254577864848309,0.001467407595286956,0.001467407595286956,65,589,589,7
1747,0.26825064297791695,0.3808080742409643,0.4933655055040116,0.001187022988770781,0.001187022988770781,40,1747,1734,6
582,0.2417005599042824,0.38357917319455664,0.5254577864848309,0.001467407595286956,0.001467407595286956,65,582,582,7
586,0.2417005599042824,0.38357917319455664,0.5254577864848309,0.001467407595286956,0.001467407595286956,65,586,586,7
457,0.25700708936139144,0.38679791700764865,0.5165887446539058,0.0008531439507482303,0.0008531439507482303,72,457,457,7
452,0.25700708936139144,0.38679791700764865,0.5165887446539058,0.0008531439507482303,0.0008531439507482303,72,452,452,7
1742,0.26825064297791695,0.3808080742409643,0.4933655055040116,0.001187022988770781,0.001187022988770781,40,1742,1729,6
443,0.25700708936139144,0.38679791700764865,0.5165887446539058,0.0008531439507482303,0.0008531439507482303,72,443,443,7
431,0.31266624152482475,0.38319083363659434,0.45371542574836393,0.0021905047384076183,0.0021905047384076183,56,431,431,7
445,0.25700708936139144,0.38679791700764865,0.5165887446539058,0.0008531439507482303,0.0008531439507482303,72,445,445,7
583,0.2417005599042824,0.38357917319455664,0.5254577864848309,0.001467407595286956,0.001467407595286956,65,583,583,7
444,0.25700708936139144,0.38679791700764865,0.5165887446539058,0.0008531439507482303,0.0008531439507482303,72,444,444,7
456,0.25700708936139144,0.38679791700764865,0.5165887446539058,0.0008531439507482303,0.0008531439507482303,72,456,456,7
1748,0.26825064297791695,0.3808080742409643,0.4933655055040116,0.001187022988770781,0.001187022988770781,40,1748,1735,6
453,0.25700708936139144,0.38679791700764865,0.5165887446539058,0.0008531439507482303,0.0008531439507482303,72,453,453,7
448,0.25700708936139144,0.38679791700764865,0.5165887446539058,0.0008531439507482303,0.0008531439507482303,72,448,448,7
579,0.2417005599042824,0.38357917319455664,0.5254577864848309,0.001467407595286956,0.001467407595286956,65,579,579,7
455,0.25700708936139144,0.38679791700764865,0.5165887446539058,0.0008531439507482303,0.0008531439507482303,72,455,455,7
447,0.25700708936139144,0.38679791700764865,0.5165887446539058,0.0008531439507482303,0.0008531439507482303,72,447,447,7
430,0.31266624152482475,0.38319083363659434,0.45371542574836393,0.0021905047384076183,0.0021905047384076183,56,430,430,7
587,0.2417005599042824,0.38357917319455664,0.5254577864848309,0.001467407595286956,0.001467407595286956,65,587,587,7
590,0.2417005599042824,0.38357917319455664,0.5254577864848309,0.001467407595286956,0.001467407595286956,65,590,590,7
1741,0.26825064297791695,0.3808080742409643,0.4933655055040116,0.001187022988770781,0.001187022988770781,40,1741,1728,6
581,0.2417005599042824,0.38357917319455664,0.5254577864848309,0.001467407595286956,0.001467407595286956,65,581,581,7
1745,0.26825064297791695,0.3808080742409643,0.4933655055040116,0.001187022988770781,0.001187022988770781,40,1745,1732,6
