index,pp_min,pp_mean,pp_max,pop_dev_max,pop_dev_mean,cut_edges,step,plan_idx,county_splits
11,0.34478644315111945,0.40932393803157047,0.5029834543492879,0.0043643008349275175,0.0029095338899516195,87,11,11,12
1837,0.3450067592670365,0.4049395689677848,0.5217564910080921,0.0038998290988737877,0.0025998860659159177,90,1837,1837,10
9,0.34478644315111945,0.40932393803157047,0.5029834543492879,0.0043643008349275175,0.0029095338899516195,87,9,9,12
1848,0.3450067592670365,0.4049395689677848,0.5217564910080921,0.0038998290988737877,0.0025998860659159177,90,1848,1848,10
1852,0.3450067592670365,0.4049395689677848,0.5217564910080921,0.0038998290988737877,0.0025998860659159177,90,1852,1852,10
8,0.34478644315111945,0.40932393803157047,0.5029834543492879,0.0043643008349275175,0.0029095338899516195,87,8,8,12
1845,0.3450067592670365,0.4049395689677848,0.5217564910080921,0.0038998290988737877,0.0025998860659159177,90,1845,1845,10
1838,0.3450067592670365,0.4049395689677848,0.5217564910080921,0.0038998290988737877,0.0025998860659159177,90,1838,1838,10
3,0.34478644315111945,0.40932393803157047,0.5029834543492879,0.0043643008349275175,0.0029095338899516195,87,3,3,12
4,0.34478644315111945,0.40932393803157047,0.5029834543492879,0.0043643008349275175,0.0029095338899516195,87,4,4,12
1850,0.3450067592670365,0.4049395689677848,0.5217564910080921,0.0038998290988737877,0.0025998860659159177,90,1850,1850,10
1853,0.3450067592670365,0.4049395689677848,0.5217564910080921,0.0038998290988737877,0.0025998860659159177,90,1853,1853,10
1841,0.3450067592670365,0.4049395689677848,0.5217564910080921,0.0038998290988737877,0.0025998860659159177,90,1841,1841,10
1839,0.3450067592670365,0.4049395689677848,0.5217564910080921,0.0038998290988737877,0.0025998860659159177,90,1839,1839,10
1846,0.3450067592670365,0.4049395689677848,0.5217564910080921,0.0038998290988737877,0.0025998860659159177,90,1846,1846,10
1849,0.3450067592670365,0.4049395689677848,0.5217564910080921,0.0038998290988737877,0.0025998860659159177,90,1849,1849,10
1842,0.3450067592670365,0.4049395689677848,0.5217564910080921,0.0038998290988737877,0.0025998860659159177,90,1842,1842,10
5,0.34478644315111945,0.40932393803157047,0.5029834543492879,0.0043643008349275175,0.0029095338899516195,87,5,5,12
1847,0.3450067592670365,0.4049395689677848,0.5217564910080921,0.0038998290988737877,0.0025998860659159177,90,1847,1847,10
1840,0.3450067592670365,0.4049395689677848,0.5217564910080921,0.0038998290988737877,0.0025998860659159177,90,1840,1840,10
7,0.34478644315111945,0.40932393803157047,0.5029834543492879,0.0043643008349275175,0.0029095338899516195,87,7,7,12
6,0.34478644315111945,0.40932393803157047,0.5029834543492879,0.0043643008349275175,0.0029095338899516195,87,6,6,12
1844,0.3450067592670365,0.4049395689677848,0.5217564910080921,0.0038998290988737877,0.0025998860659159177,90,1844,1844,10
1,0.34478644315111945,0.40932393803157047,0.5029834543492879,0.0043643008349275175,0.0029095338899516195,87,1,1,12
10,0.34478644315111945,0.40932393803157047,0.5029834543492879,0.0043643008349275175,0.0029095338899516195,87,10,10,12
1851,0.3450067592670365,0.4049395689677848,0.5217564910080921,0.0038998290988737877,0.0025998860659159177,90,1851,1851,10
0,0.34478644315111945,0.40932393803157047,0.5029834543492879,0.0043643008349275175,0.0029095338899516195,87,0,0,12
2,0.34478644315111945,0.40932393803157047,0.5029834543492879,0.0043643008349275175,0.0029095338899516195,87,2,2,12
1843,0.3450067592670365,0.4049395689677848,0.5217564910080921,0.0038998290988737877,0.0025998860659159177,90,1843,1843,10
