index,pp_min,pp_mean,pp_max,pop_dev_max,pop_dev_mean,cut_edges,step,plan_idx,county_splits
1082,0.17573984585960614,0.21285870035264895,0.25896043828701665,0.004098186465122858,0.0027321243100819604,133,1082,735,11
1544,0.15901960247259647,0.24563916272325748,0.2945863037500249,0.0036712723645846972,0.0024475149097230764,182,1544,1131,11
845,0.22356141209229152,0.27698095013873764,0.35324747167878423,0.0013832205757485006,0.0009221470504989455,198,845,600,9
1327,0.2510713708300086,0.2587761066921647,0.26646724271020034,0.002355583554739872,0.0015703890364933033,178,1327,980,14
1073,0.17573984585960614,0.21285870035264895,0.25896043828701665,0.004098186465122858,0.0027321243100819604,133,1073,726,11
1537,0.22143410628363033,0.2799744253157613,0.3239028659136285,0.004434900794419192,0.0029566005296127393,184,1537,1124,12
1070,0.17573984585960614,0.21285870035264895,0.25896043828701665,0.004098186465122858,0.0027321243100819604,133,1070,723,11
1793,0.18133206630711662,0.26160284238609266,0.3645169697912429,0.0018479146851839634,0.0012319431234559207,187,1793,1368,10
1797,0.18133206630711662,0.26160284238609266,0.3645169697912429,0.0018479146851839634,0.0012319431234559207,187,1797,1372,10
1545,0.15901960247259647,0.24563916272325748,0.2945863037500249,0.0036712723645846972,0.0024475149097230764,182,1545,1132,11
1203,0.2146231018903761,0.24210881952161922,0.29145396283924735,0.0039517889306463485,0.0026345259537641774,145,1203,856,9
847,0.22356141209229152,0.27698095013873764,0.35324747167878423,0.0013832205757485006,0.0009221470504989455,198,847,602,9
1782,0.18133206630711662,0.26160284238609266,0.3645169697912429,0.0018479146851839634,0.0012319431234559207,187,1782,1357,10
1543,0.15901960247259647,0.24563916272325748,0.2945863037500249,0.0036712723645846972,0.0024475149097230764,182,1543,1130,11
1547,0.15901960247259647,0.24563916272325748,0.2945863037500249,0.0036712723645846972,0.0024475149097230764,182,1547,1134,11
1209,0.2146231018903761,0.24210881952161922,0.29145396283924735,0.0039517889306463485,0.0026345259537641774,145,1209,862,9
1790,0.18133206630711662,0.26160284238609266,0.3645169697912429,0.0018479146851839634,0.0012319431234559207,187,1790,1365,10
1212,0.2146231018903761,0.24210881952161922,0.29145396283924735,0.0039517889306463485,0.0026345259537641774,145,1212,865,9
1195,0.2146231018903761,0.24210881952161922,0.29145396283924735,0.0039517889306463485,0.0026345259537641774,145,1195,848,9
1802,0.18133206630711662,0.26160284238609266,0.3645169697912429,0.0018479146851839634,0.0012319431234559207,187,1802,1377,10
1192,0.2146231018903761,0.24210881952161922,0.29145396283924735,0.0039517889306463485,0.0026345259537641774,145,1192,845,9
1780,0.18133206630711662,0.26160284238609266,0.3645169697912429,0.0018479146851839634,0.0012319431234559207,187,1780,1355,10
1213,0.2146231018903761,0.24210881952161922,0.29145396283924735,0.0039517889306463485,0.0026345259537641774,145,1213,866,9
1775,0.18133206630711662,0.26160284238609266,0.3645169697912429,0.0018479146851839634,0.0012319431234559207,187,1775,1350,10
1202,0.2146231018903761,0.24210881952161922,0.29145396283924735,0.0039517889306463485,0.0026345259537641774,145,1202,855,9
840,0.22356141209229152,0.27698095013873764,0.35324747167878423,0.0013832205757485006,0.0009221470504989455,198,840,595,9
1794,0.18133206630711662,0.26160284238609266,0.3645169697912429,0.0018479146851839634,0.0012319431234559207,187,1794,1369,10
1329,0.2510713708300086,0.2587761066921647,0.26646724271020034,0.002355583554739872,0.0015703890364933033,178,1329,982,14
1795,0.18133206630711662,0.26160284238609266,0.3645169697912429,0.0018479146851839634,0.0012319431234559207,187,1795,1370,10
1084,0.17573984585960614,0.21285870035264895,0.25896043828701665,0.004098186465122858,0.0027321243100819604,133,1084,737,11
1324,0.2510713708300086,0.2587761066921647,0.26646724271020034,0.002355583554739872,0.0015703890364933033,178,1324,977,14
1786,0.18133206630711662,0.26160284238609266,0.3645169697912429,0.0018479146851839634,0.0012319431234559207,187,1786,1361,10
1791,0.18133206630711662,0.26160284238609266,0.3645169697912429,0.0018479146851839634,0.0012319431234559207,187,1791,1366,10
1197,0.2146231018903761,0.24210881952161922,0.29145396283924735,0.0039517889306463485,0.0026345259537641774,145,1197,850,9
1331,0.2510713708300086,0.2587761066921647,0.26646724271020034,0.002355583554739872,0.0015703890364933033,178,1331,984,14
1330,0.2510713708300086,0.2587761066921647,0.26646724271020034,0.002355583554739872,0.0015703890364933033,178,1330,983,14
848,0.22356141209229152,0.27698095013873764,0.35324747167878423,0.0013832205757485006,0.0009221470504989455,198,848,603,9
1215,0.2146231018903761,0.24210881952161922,0.29145396283924735,0.0039517889306463485,0.0026345259537641774,145,1215,868,9
1201,0.2146231018903761,0.24210881952161922,0.29145396283924735,0.0039517889306463485,0.0026345259537641774,145,1201,854,9
1538,0.22143410628363033,0.2799744253157613,0.3239028659136285,0.004434900794419192,0.0029566005296127393,184,1538,1125,12
1077,0.17573984585960614,0.21285870035264895,0.25896043828701665,0.004098186465122858,0.0027321243100819604,133,1077,730,11
1546,0.15901960247259647,0.24563916272325748,0.2945863037500249,0.0036712723645846972,0.0024475149097230764,182,1546,1133,11
1789,0.18133206630711662,0.26160284238609266,0.3645169697912429,0.0018479146851839634,0.0012319431234559207,187,1789,1364,10
841,0.22356141209229152,0.27698095013873764,0.35324747167878423,0.0013832205757485006,0.0009221470504989455,198,841,596,9
1785,0.18133206630711662,0.26160284238609266,0.3645169697912429,0.0018479146851839634,0.0012319431234559207,187,1785,1360,10
1778,0.18133206630711662,0.26160284238609266,0.3645169697912429,0.0018479146851839634,0.0012319431234559207,187,1778,1353,10
1085,0.17573984585960614,0.21285870035264895,0.25896043828701665,0.004098186465122858,0.0027321243100819604,133,1085,738,11
1208,0.2146231018903761,0.24210881952161922,0.29145396283924735,0.0039517889306463485,0.0026345259537641774,145,1208,861,9
844,0.22356141209229152,0.27698095013873764,0.35324747167878423,0.0013832205757485006,0.0009221470504989455,198,844,599,9
1801,0.18133206630711662,0.26160284238609266,0.3645169697912429,0.0018479146851839634,0.0012319431234559207,187,1801,1376,10
1799,0.18133206630711662,0.26160284238609266,0.3645169697912429,0.0018479146851839634,0.0012319431234559207,187,1799,1374,10
1072,0.17573984585960614,0.21285870035264895,0.25896043828701665,0.004098186465122858,0.0027321243100819604,133,1072,725,11
1083,0.17573984585960614,0.21285870035264895,0.25896043828701665,0.004098186465122858,0.0027321243100819604,133,1083,736,11
1783,0.18133206630711662,0.26160284238609266,0.3645169697912429,0.0018479146851839634,0.0012319431234559207,187,1783,1358,10
1210,0.2146231018903761,0.24210881952161922,0.29145396283924735,0.0039517889306463485,0.0026345259537641774,145,1210,863,9
1205,0.2146231018903761,0.24210881952161922,0.29145396283924735,0.0039517889306463485,0.0026345259537641774,145,1205,858,9
1788,0.18133206630711662,0.26160284238609266,0.3645169697912429,0.0018479146851839634,0.0012319431234559207,187,1788,1363,10
1784,0.18133206630711662,0.26160284238609266,0.3645169697912429,0.0018479146851839634,0.0012319431234559207,187,1784,1359,10
1068,0.17573984585960614,0.21285870035264895,0.25896043828701665,0.004098186465122858,0.0027321243100819604,133,1068,721,11
843,0.22356141209229152,0.27698095013873764,0.35324747167878423,0.0013832205757485006,0.0009221470504989455,198,843,598,9
1207,0.2146231018903761,0.24210881952161922,0.29145396283924735,0.0039517889306463485,0.0026345259537641774,145,1207,860,9
1079,0.17573984585960614,0.21285870035264895,0.25896043828701665,0.004098186465122858,0.0027321243100819604,133,1079,732,11
1781,0.18133206630711662,0.26160284238609266,0.3645169697912429,0.0018479146851839634,0.0012319431234559207,187,1781,1356,10
1217,0.2146231018903761,0.24210881952161922,0.29145396283924735,0.0039517889306463485,0.0026345259537641774,145,1217,870,9
1798,0.18133206630711662,0.26160284238609266,0.3645169697912429,0.0018479146851839634,0.0012319431234559207,187,1798,1373,10
1792,0.18133206630711662,0.26160284238609266,0.3645169697912429,0.0018479146851839634,0.0012319431234559207,187,1792,1367,10
