index,pp_min,pp_mean,pp_max,pop_dev_max,pop_dev_mean,cut_edges,step,plan_idx,county_splits
1903,0.14134772452556246,0.19552665655417772,0.2812951071423714,0.004486361717996411,0.0019477017972471568,330,1903,1143,29
303,0.11475641263790845,0.21011681370237384,0.3573903286452876,0.004786917392399145,0.002828355180026541,390,303,224,26
291,0.11475641263790845,0.21011681370237384,0.3573903286452876,0.004786917392399145,0.002828355180026541,390,291,212,26
1895,0.14134772452556246,0.19552665655417772,0.2812951071423714,0.004486361717996411,0.0019477017972471568,330,1895,1135,29
215,0.15237006044646365,0.21047645976142051,0.3168069445065196,0.004301987228656919,0.0032637820562200813,370,215,137,30
1908,0.14134772452556246,0.19552665655417772,0.2812951071423714,0.004486361717996411,0.0019477017972471568,330,1908,1148,29
290,0.11475641263790845,0.21011681370237384,0.3573903286452876,0.004786917392399145,0.002828355180026541,390,290,211,26
294,0.11475641263790845,0.21011681370237384,0.3573903286452876,0.004786917392399145,0.002828355180026541,390,294,215,26
1894,0.14134772452556246,0.19552665655417772,0.2812951071423714,0.004486361717996411,0.0019477017972471568,330,1894,1134,29
1898,0.14134772452556246,0.19552665655417772,0.2812951071423714,0.004486361717996411,0.0019477017972471568,330,1898,1138,29
292,0.11475641263790845,0.21011681370237384,0.3573903286452876,0.004786917392399145,0.002828355180026541,390,292,213,26
297,0.11475641263790845,0.21011681370237384,0.3573903286452876,0.004786917392399145,0.002828355180026541,390,297,218,26
1905,0.14134772452556246,0.19552665655417772,0.2812951071423714,0.004486361717996411,0.0019477017972471568,330,1905,1145,29
1902,0.14134772452556246,0.19552665655417772,0.2812951071423714,0.004486361717996411,0.0019477017972471568,330,1902,1142,29
1899,0.14134772452556246,0.19552665655417772,0.2812951071423714,0.004486361717996411,0.0019477017972471568,330,1899,1139,29
1959,0.1442329261799081,0.18857440431689268,0.25788263731412175,0.0020614583314917225,0.0009657182156691485,303,1959,1198,25
296,0.11475641263790845,0.21011681370237384,0.3573903286452876,0.004786917392399145,0.002828355180026541,390,296,217,26
301,0.11475641263790845,0.21011681370237384,0.3573903286452876,0.004786917392399145,0.002828355180026541,390,301,222,26
1901,0.14134772452556246,0.19552665655417772,0.2812951071423714,0.004486361717996411,0.0019477017972471568,330,1901,1141,29
1644,0.1041260149244675,0.1924944823593975,0.3069467510133539,0.003628894058670964,0.0022654320816157614,324,1644,951,31
1900,0.14134772452556246,0.19552665655417772,0.2812951071423714,0.004486361717996411,0.0019477017972471568,330,1900,1140,29
1960,0.1442329261799081,0.18857440431689268,0.25788263731412175,0.0020614583314917225,0.0009657182156691485,303,1960,1199,25
1897,0.14134772452556246,0.19552665655417772,0.2812951071423714,0.004486361717996411,0.0019477017972471568,330,1897,1137,29
300,0.11475641263790845,0.21011681370237384,0.3573903286452876,0.004786917392399145,0.002828355180026541,390,300,221,26
1904,0.14134772452556246,0.19552665655417772,0.2812951071423714,0.004486361717996411,0.0019477017972471568,330,1904,1144,29
299,0.11475641263790845,0.21011681370237384,0.3573903286452876,0.004786917392399145,0.002828355180026541,390,299,220,26
1896,0.14134772452556246,0.19552665655417772,0.2812951071423714,0.004486361717996411,0.0019477017972471568,330,1896,1136,29
1907,0.14134772452556246,0.19552665655417772,0.2812951071423714,0.004486361717996411,0.0019477017972471568,330,1907,1147,29
293,0.11475641263790845,0.21011681370237384,0.3573903286452876,0.004786917392399145,0.002828355180026541,390,293,214,26
295,0.11475641263790845,0.21011681370237384,0.3573903286452876,0.004786917392399145,0.002828355180026541,390,295,216,26
302,0.11475641263790845,0.21011681370237384,0.3573903286452876,0.004786917392399145,0.002828355180026541,390,302,223,26
331,0.1166803389444827,0.21416854670305802,0.3573903286452876,0.004786917392399145,0.0022201719329998323,376,331,252,27
1643,0.1041260149244675,0.1924944823593975,0.3069467510133539,0.003628894058670964,0.0022654320816157614,324,1643,950,31
298,0.11475641263790845,0.21011681370237384,0.3573903286452876,0.004786917392399145,0.002828355180026541,390,298,219,26
1906,0.14134772452556246,0.19552665655417772,0.2812951071423714,0.004486361717996411,0.0019477017972471568,330,1906,1146,29
289,0.11475641263790845,0.21011681370237384,0.3573903286452876,0.004786917392399145,0.002828355180026541,390,289,210,26
