index,pp_min,pp_mean,pp_max,pop_dev_max,pop_dev_mean,cut_edges,step,plan_idx,county_splits
546,0.14832880541947036,0.25960542764072486,0.4282571841040838,0.0023791413426135265,0.001112673185528124,244,546,311,19
534,0.14584134937946255,0.24216200171353863,0.4282571841040838,0.0029592355217768333,0.0013242101054860437,260,534,299,17
550,0.14832880541947036,0.25960542764072486,0.4282571841040838,0.0023791413426135265,0.001112673185528124,244,550,315,19
529,0.14584134937946255,0.24216200171353863,0.4282571841040838,0.0029592355217768333,0.0013242101054860437,260,529,294,17
547,0.14832880541947036,0.25960542764072486,0.4282571841040838,0.0023791413426135265,0.001112673185528124,244,547,312,19
543,0.1441642366498716,0.25066366599235185,0.4282571841040838,0.0026038157358452734,0.001205736843508857,242,543,308,18
525,0.14584134937946255,0.24216200171353863,0.4282571841040838,0.0029592355217768333,0.0013242101054860437,260,525,290,17
519,0.14584134937946255,0.24216200171353863,0.4282571841040838,0.0029592355217768333,0.0013242101054860437,260,519,284,17
518,0.14584134937946255,0.24216200171353863,0.4282571841040838,0.0029592355217768333,0.0013242101054860437,260,518,283,17
526,0.14584134937946255,0.24216200171353863,0.4282571841040838,0.0029592355217768333,0.0013242101054860437,260,526,291,17
535,0.14584134937946255,0.24216200171353863,0.4282571841040838,0.0029592355217768333,0.0013242101054860437,260,535,300,17
522,0.14584134937946255,0.24216200171353863,0.4282571841040838,0.0029592355217768333,0.0013242101054860437,260,522,287,17
539,0.14584134937946255,0.24216200171353863,0.4282571841040838,0.0029592355217768333,0.0013242101054860437,260,539,304,17
541,0.1441642366498716,0.25066366599235185,0.4282571841040838,0.0026038157358452734,0.001205736843508857,242,541,306,18
527,0.14584134937946255,0.24216200171353863,0.4282571841040838,0.0029592355217768333,0.0013242101054860437,260,527,292,17
571,0.14832880541947036,0.25960542764072486,0.4282571841040838,0.0023791413426135265,0.001112673185528124,244,571,336,19
569,0.14832880541947036,0.25960542764072486,0.4282571841040838,0.0023791413426135265,0.001112673185528124,244,569,334,19
531,0.14584134937946255,0.24216200171353863,0.4282571841040838,0.0029592355217768333,0.0013242101054860437,260,531,296,17
564,0.14832880541947036,0.25960542764072486,0.4282571841040838,0.0023791413426135265,0.001112673185528124,244,564,329,19
560,0.14832880541947036,0.25960542764072486,0.4282571841040838,0.0023791413426135265,0.001112673185528124,244,560,325,19
559,0.14832880541947036,0.25960542764072486,0.4282571841040838,0.0023791413426135265,0.001112673185528124,244,559,324,19
561,0.14832880541947036,0.25960542764072486,0.4282571841040838,0.0023791413426135265,0.001112673185528124,244,561,326,19
555,0.14832880541947036,0.25960542764072486,0.4282571841040838,0.0023791413426135265,0.001112673185528124,244,555,320,19
553,0.14832880541947036,0.25960542764072486,0.4282571841040838,0.0023791413426135265,0.001112673185528124,244,553,318,19
557,0.14832880541947036,0.25960542764072486,0.4282571841040838,0.0023791413426135265,0.001112673185528124,244,557,322,19
542,0.1441642366498716,0.25066366599235185,0.4282571841040838,0.0026038157358452734,0.001205736843508857,242,542,307,18
568,0.14832880541947036,0.25960542764072486,0.4282571841040838,0.0023791413426135265,0.001112673185528124,244,568,333,19
562,0.14832880541947036,0.25960542764072486,0.4282571841040838,0.0023791413426135265,0.001112673185528124,244,562,327,19
538,0.14584134937946255,0.24216200171353863,0.4282571841040838,0.0029592355217768333,0.0013242101054860437,260,538,303,17
558,0.14832880541947036,0.25960542764072486,0.4282571841040838,0.0023791413426135265,0.001112673185528124,244,558,323,19
554,0.14832880541947036,0.25960542764072486,0.4282571841040838,0.0023791413426135265,0.001112673185528124,244,554,319,19
563,0.14832880541947036,0.25960542764072486,0.4282571841040838,0.0023791413426135265,0.001112673185528124,244,563,328,19
516,0.14584134937946255,0.24216200171353863,0.4282571841040838,0.0029592355217768333,0.0013242101054860437,260,516,281,17
556,0.14832880541947036,0.25960542764072486,0.4282571841040838,0.0023791413426135265,0.001112673185528124,244,556,321,19
544,0.1441642366498716,0.25066366599235185,0.4282571841040838,0.0026038157358452734,0.001205736843508857,242,544,309,18
567,0.14832880541947036,0.25960542764072486,0.4282571841040838,0.0023791413426135265,0.001112673185528124,244,567,332,19
520,0.14584134937946255,0.24216200171353863,0.4282571841040838,0.0029592355217768333,0.0013242101054860437,260,520,285,17
515,0.14584134937946255,0.24216200171353863,0.4282571841040838,0.0029592355217768333,0.0013242101054860437,260,515,280,17
548,0.14832880541947036,0.25960542764072486,0.4282571841040838,0.0023791413426135265,0.001112673185528124,244,548,313,19
524,0.14584134937946255,0.24216200171353863,0.4282571841040838,0.0029592355217768333,0.0013242101054860437,260,524,289,17
533,0.14584134937946255,0.24216200171353863,0.4282571841040838,0.0029592355217768333,0.0013242101054860437,260,533,298,17
536,0.14584134937946255,0.24216200171353863,0.4282571841040838,0.0029592355217768333,0.0013242101054860437,260,536,301,17
549,0.14832880541947036,0.25960542764072486,0.4282571841040838,0.0023791413426135265,0.001112673185528124,244,549,314,19
565,0.14832880541947036,0.25960542764072486,0.4282571841040838,0.0023791413426135265,0.001112673185528124,244,565,330,19
570,0.14832880541947036,0.25960542764072486,0.4282571841040838,0.0023791413426135265,0.001112673185528124,244,570,335,19
514,0.14584134937946255,0.24216200171353863,0.4282571841040838,0.0029592355217768333,0.0013242101054860437,260,514,279,17
517,0.14584134937946255,0.24216200171353863,0.4282571841040838,0.0029592355217768333,0.0013242101054860437,260,517,282,17
528,0.14584134937946255,0.24216200171353863,0.4282571841040838,0.0029592355217768333,0.0013242101054860437,260,528,293,17
552,0.14832880541947036,0.25960542764072486,0.4282571841040838,0.0023791413426135265,0.001112673185528124,244,552,317,19
523,0.14584134937946255,0.24216200171353863,0.4282571841040838,0.0029592355217768333,0.0013242101054860437,260,523,288,17
513,0.14584134937946255,0.24216200171353863,0.4282571841040838,0.0029592355217768333,0.0013242101054860437,260,513,278,17
521,0.14584134937946255,0.24216200171353863,0.4282571841040838,0.0029592355217768333,0.0013242101054860437,260,521,286,17
532,0.14584134937946255,0.24216200171353863,0.4282571841040838,0.0029592355217768333,0.0013242101054860437,260,532,297,17
537,0.14584134937946255,0.24216200171353863,0.4282571841040838,0.0029592355217768333,0.0013242101054860437,260,537,302,17
540,0.14584134937946255,0.24216200171353863,0.4282571841040838,0.0029592355217768333,0.0013242101054860437,260,540,305,17
551,0.14832880541947036,0.25960542764072486,0.4282571841040838,0.0023791413426135265,0.001112673185528124,244,551,316,19
545,0.1441642366498716,0.25066366599235185,0.4282571841040838,0.0026038157358452734,0.001205736843508857,242,545,310,18
530,0.14584134937946255,0.24216200171353863,0.4282571841040838,0.0029592355217768333,0.0013242101054860437,260,530,295,17
572,0.14832880541947036,0.25960542764072486,0.4282571841040838,0.0023791413426135265,0.001112673185528124,244,572,337,19
566,0.14832880541947036,0.25960542764072486,0.4282571841040838,0.0023791413426135265,0.001112673185528124,244,566,331,19
