index,pp_min,pp_mean,pp_max,pop_dev_max,pop_dev_mean,cut_edges,step,plan_idx,county_splits
1627,0.16750461678700926,0.33939943735462624,0.47392973773407804,0.004751168841331012,0.003104276296484673,400,1627,1213,11
1615,0.16750461678700926,0.33939943735462624,0.47392973773407804,0.004751168841331012,0.003104276296484673,400,1615,1201,11
53,0.19702412329165164,0.2670309784217435,0.4033883724214681,0.004007805317005419,0.002956337174044876,379,53,53,10
1808,0.1445838426655867,0.29456242924204784,0.40264010775785275,0.0046105655431444275,0.0030480349772100393,397,1808,1360,14
14,0.2085754455259272,0.2945563230757874,0.4033883724214681,0.0046423541149083515,0.0036422367417203,455,14,14,10
20,0.2085754455259272,0.2945563230757874,0.4033883724214681,0.0046423541149083515,0.0036422367417203,455,20,20,10
1807,0.1445838426655867,0.29456242924204784,0.40264010775785275,0.0046105655431444275,0.0030480349772100393,397,1807,1359,14
26,0.2085754455259272,0.2945563230757874,0.4033883724214681,0.0046423541149083515,0.0036422367417203,455,26,26,10
9,0.2085754455259272,0.2945563230757874,0.4033883724214681,0.0046423541149083515,0.0036422367417203,455,9,9,10
55,0.19702412329165164,0.2670309784217435,0.4033883724214681,0.004007805317005419,0.002956337174044876,379,55,55,10
1611,0.16750461678700926,0.33939943735462624,0.47392973773407804,0.004751168841331012,0.003104276296484673,400,1611,1197,11
1713,0.1096917007360867,0.23986317902424867,0.3459031221635319,0.0018412918875564859,0.001018456933821084,440,1713,1298,9
1618,0.16750461678700926,0.33939943735462624,0.47392973773407804,0.004751168841331012,0.003104276296484673,400,1618,1204,11
1619,0.16750461678700926,0.33939943735462624,0.47392973773407804,0.004751168841331012,0.003104276296484673,400,1619,1205,11
12,0.2085754455259272,0.2945563230757874,0.4033883724214681,0.0046423541149083515,0.0036422367417203,455,12,12,10
1801,0.1445838426655867,0.29456242924204784,0.40264010775785275,0.0046105655431444275,0.0030480349772100393,397,1801,1353,14
8,0.2085754455259272,0.2945563230757874,0.4033883724214681,0.0046423541149083515,0.0036422367417203,455,8,8,10
1616,0.16750461678700926,0.33939943735462624,0.47392973773407804,0.004751168841331012,0.003104276296484673,400,1616,1202,11
1717,0.1096917007360867,0.23986317902424867,0.3459031221635319,0.0018412918875564859,0.001018456933821084,440,1717,1302,9
1810,0.1445838426655867,0.29456242924204784,0.40264010775785275,0.0046105655431444275,0.0030480349772100393,397,1810,1362,14
1778,0.10412871528761733,0.2865067071572578,0.3955574590344091,0.0038672020188188347,0.0021555096930691133,431,1778,1345,10
11,0.2085754455259272,0.2945563230757874,0.4033883724214681,0.0046423541149083515,0.0036422367417203,455,11,11,10
