index,pp_min,pp_mean,pp_max,pop_dev_max,pop_dev_mean,cut_edges,step,plan_idx,county_splits
330,0.12107356133977547,0.21627005853297218,0.4061123024957748,0.004724202634918378,0.002078874824324918,858,330,79,45
350,0.1337571019878257,0.22356820120029272,0.46105141175114656,0.004724202634918378,0.0028143644400887525,850,350,90,46
326,0.12107356133977547,0.21627005853297218,0.4061123024957748,0.004724202634918378,0.002078874824324918,858,326,75,45
591,0.10882057605811561,0.19345877130108713,0.2945976244483628,0.004741848616818012,0.002501826952981772,975,591,217,42
358,0.1337571019878257,0.2200632862206586,0.46105141175114656,0.00450328851536719,0.002316204797229852,818,358,98,49
592,0.10882057605811561,0.19345877130108713,0.2945976244483628,0.004741848616818012,0.002501826952981772,975,592,218,42
325,0.12107356133977547,0.21627005853297218,0.4061123024957748,0.004724202634918378,0.002078874824324918,858,325,74,45
352,0.1337571019878257,0.2200632862206586,0.46105141175114656,0.00450328851536719,0.002316204797229852,818,352,92,49
316,0.12061927312735249,0.20250980677018288,0.4061123024957748,0.004664817118909994,0.002384413304188053,833,316,65,48
320,0.12107356133977547,0.21627005853297218,0.4061123024957748,0.004724202634918378,0.002078874824324918,858,320,69,45
587,0.10882057605811561,0.19345877130108713,0.2945976244483628,0.004741848616818012,0.002501826952981772,975,587,213,42
347,0.1337571019878257,0.22356820120029272,0.46105141175114656,0.004724202634918378,0.0028143644400887525,850,347,87,46
356,0.1337571019878257,0.2200632862206586,0.46105141175114656,0.00450328851536719,0.002316204797229852,818,356,96,49
355,0.1337571019878257,0.2200632862206586,0.46105141175114656,0.00450328851536719,0.002316204797229852,818,355,95,49
354,0.1337571019878257,0.2200632862206586,0.46105141175114656,0.00450328851536719,0.002316204797229852,818,354,94,49
331,0.12107356133977547,0.21627005853297218,0.4061123024957748,0.004724202634918378,0.002078874824324918,858,331,80,45
324,0.12107356133977547,0.21627005853297218,0.4061123024957748,0.004724202634918378,0.002078874824324918,858,324,73,45
590,0.10882057605811561,0.19345877130108713,0.2945976244483628,0.004741848616818012,0.002501826952981772,975,590,216,42
317,0.12061927312735249,0.2132220018514226,0.4061123024957748,0.004724202634918378,0.0030861804305042694,834,317,66,47
586,0.10882057605811561,0.18694952989568597,0.2945976244483628,0.004741848616818012,0.0024624628395133576,962,586,212,43
588,0.10882057605811561,0.19345877130108713,0.2945976244483628,0.004741848616818012,0.002501826952981772,975,588,214,42
321,0.12107356133977547,0.21627005853297218,0.4061123024957748,0.004724202634918378,0.002078874824324918,858,321,70,45
322,0.12107356133977547,0.21627005853297218,0.4061123024957748,0.004724202634918378,0.002078874824324918,858,322,71,45
589,0.10882057605811561,0.19345877130108713,0.2945976244483628,0.004741848616818012,0.002501826952981772,975,589,215,42
323,0.12107356133977547,0.21627005853297218,0.4061123024957748,0.004724202634918378,0.002078874824324918,858,323,72,45
353,0.1337571019878257,0.2200632862206586,0.46105141175114656,0.00450328851536719,0.002316204797229852,818,353,93,49
348,0.1337571019878257,0.22356820120029272,0.46105141175114656,0.004724202634918378,0.0028143644400887525,850,348,88,46
319,0.12107356133977547,0.21627005853297218,0.4061123024957748,0.004724202634918378,0.002078874824324918,858,319,68,45
349,0.1337571019878257,0.22356820120029272,0.46105141175114656,0.004724202634918378,0.0028143644400887525,850,349,89,46
318,0.12061927312735249,0.2132220018514226,0.4061123024957748,0.004724202634918378,0.0030861804305042694,834,318,67,47
328,0.12107356133977547,0.21627005853297218,0.4061123024957748,0.004724202634918378,0.002078874824324918,858,328,77,45
329,0.12107356133977547,0.21627005853297218,0.4061123024957748,0.004724202634918378,0.002078874824324918,858,329,78,45
327,0.12107356133977547,0.21627005853297218,0.4061123024957748,0.004724202634918378,0.002078874824324918,858,327,76,45
351,0.1337571019878257,0.2200632862206586,0.46105141175114656,0.00450328851536719,0.002316204797229852,818,351,91,49
584,0.10882057605811561,0.18694952989568597,0.2945976244483628,0.004741848616818012,0.0024624628395133576,962,584,210,43
585,0.10882057605811561,0.18694952989568597,0.2945976244483628,0.004741848616818012,0.0024624628395133576,962,585,211,43
357,0.1337571019878257,0.2200632862206586,0.46105141175114656,0.00450328851536719,0.002316204797229852,818,357,97,49
